UNIQUEID,DISBURSED_AMOUNT,ASSET_COST,LTV,BRANCH_ID,SUPPLIER_ID,MANUFACTURER_ID,CURRENT_PINCODE_ID,DATE_OF_BIRTH,EMPLOYMENT_TYPE,DISBURSAL_DATE,STATE_ID,EMPLOYEE_CODE_ID,MOBILENO_AVL_FLAG,AADHAR_FLAG,PAN_FLAG,VOTERID_FLAG,DRIVING_FLAG,PASSPORT_FLAG,PERFORM_CNS_SCORE,PERFORM_CNS_SCORE_DESCRIPTION,PRI_NO_OF_ACCTS,PRI_ACTIVE_ACCTS,PRI_OVERDUE_ACCTS,PRI_CURRENT_BALANCE,PRI_SANCTIONED_AMOUNT,PRI_DISBURSED_AMOUNT,SEC_NO_OF_ACCTS,SEC_ACTIVE_ACCTS,SEC_OVERDUE_ACCTS,SEC_CURRENT_BALANCE,SEC_SANCTIONED_AMOUNT,SEC_DISBURSED_AMOUNT,PRIMARY_INSTAL_AMT,SEC_INSTAL_AMT,NEW_ACCTS_IN_LAST_SIX_MONTHS,DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,AVERAGE_ACCT_AGE,CREDIT_HISTORY_LENGTH,NO_OF_INQUIRIES,LOAN_DEFAULT
420825,50578,58400,89.55,67,22807,45,1441,01.01.1984,Salaried,03.08.2018,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
537409,47145,65550,73.23,67,22807,45,1502,31.07.1985,Self employed,26.09.2018,6,1998,1,1,0,0,0,0,598,I-Medium Risk,1,1,1,27600,50200,50200,0,0,0,0,0,0,1991,0,0,1,1yrs 11mon,1yrs 11mon,0,1
417566,53278,61360,89.63,67,22807,45,1497,24.08.1985,Self employed,01.08.2018,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
624493,57513,66113,88.48,67,22807,45,1501,30.12.1993,Self employed,26.10.2018,6,1998,1,1,0,0,0,0,305,L-Very High Risk,3,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0yrs 8mon,1yrs 3mon,1,1
539055,52378,60300,88.39,67,22807,45,1495,09.12.1977,Self employed,26.09.2018,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,1
518279,54513,61900,89.66,67,22807,45,1501,08.09.1990,Self employed,19.09.2018,6,1998,1,1,0,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,1347,0,0,0,1yrs 9mon,2yrs 0mon,0,0
529269,46349,61500,76.42,67,22807,45,1502,01.06.1988,Salaried,23.09.2018,6,1998,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
510278,43894,61900,71.89,67,22807,45,1501,04.10.1989,Salaried,16.09.2018,6,1998,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,72879,74500,74500,0,0,0,0,0,0,0,0,0,0,0yrs 2mon,0yrs 2mon,0,0
490213,53713,61973,89.56,67,22807,45,1497,15.11.1991,Self employed,05.09.2018,6,1998,1,1,0,0,0,0,718,D-Very Low Risk,1,1,0,-41,365384,365384,0,0,0,0,0,0,0,0,0,0,4yrs 8mon,4yrs 8mon,1,0
510980,52603,61300,86.95,67,22807,45,1492,01.06.1968,Salaried,16.09.2018,6,1998,1,0,0,1,0,0,818,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,2608,0,0,0,1yrs 7mon,1yrs 7mon,0,0
548567,53278,61230,89.83,67,22807,45,1493,01.01.1979,Self employed,29.09.2018,6,1998,1,1,0,0,0,0,300,M-Very High Risk,1,0,0,0,0,0,0,0,0,0,0,0,2270,0,0,0,0yrs 7mon,0yrs 7mon,0,1
486821,64769,74190,89.23,67,22807,45,1446,07.09.1984,Salaried,03.09.2018,6,1998,1,1,0,0,0,0,786,B-Very Low Risk,3,2,0,676,36154,23374,0,0,0,0,0,0,0,0,0,0,2yrs 1mon,2yrs 3mon,1,0
478647,53278,61330,89.68,67,22807,45,1497,01.06.1974,Salaried,30.08.2018,6,1998,1,0,0,1,0,0,300,M-Very High Risk,7,2,1,0,69900,69900,0,0,0,0,0,0,3300,0,0,0,1yrs 3mon,2yrs 9mon,0,1
479533,49478,57010,89.46,67,22807,45,1497,16.08.1984,Salaried,30.08.2018,6,1998,1,1,0,0,0,0,738,C-Very Low Risk,10,5,0,79750,187000,187000,0,0,0,0,0,0,23309,0,1,0,1yrs 0mon,2yrs 1mon,4,1
483869,49278,57080,89.35,67,22807,45,1495,18.02.1973,Self employed,31.08.2018,6,1998,1,1,0,0,0,0,300,M-Very High Risk,5,5,3,95597,179252,179252,0,0,0,0,0,0,3514,0,0,0,3yrs 11mon,7yrs 2mon,0,1
600655,47549,61400,79.8,67,22807,45,1440,05.07.1994,Salaried,22.10.2018,6,1998,1,0,0,1,0,0,17,Not Scored: Not Enough Info available on the customer,1,0,0,0,0,0,0,0,0,0,0,0,7900,0,1,0,0yrs 1mon,0yrs 1mon,0,1
513916,57713,65750,89.28,67,22807,45,1440,01.06.1976,Self employed,18.09.2018,6,1998,1,1,0,0,0,0,300,M-Very High Risk,6,4,2,29069,1067200,1067200,0,0,0,0,0,0,47100,0,1,1,2yrs 6mon,5yrs 6mon,0,0
522020,53503,62100,87.28,67,22807,45,1498,27.02.1983,Self employed,20.09.2018,6,1998,1,1,0,0,0,0,688,E-Low Risk,13,8,0,1076657,2277048,2277048,0,0,0,0,0,0,4982,0,1,0,1yrs 10mon,4yrs 7mon,0,0
492995,70017,86760,82.99,67,22807,45,1479,10.08.1988,Self employed,06.09.2018,6,1998,1,0,0,1,0,0,585,I-Medium Risk,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1yrs 9mon,1yrs 9mon,0,1
568857,58259,68500,86.13,67,22807,45,1468,16.04.1980,Self employed,11.10.2018,6,1998,1,1,0,0,0,0,615,H-Medium Risk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 11mon,0yrs 11mon,1,1
